"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Low-income","Somalia","Both sexes","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","Low-income","South Sudan","Both sexes","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Low-income","South Sudan","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Chad","Female","52","52.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","Chad","Female","15","15.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Togo","Female","56","56.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Low-income","Tajikistan","Both sexes","68","68.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Low-income","Tajikistan","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Low-income","Tajikistan","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Low-income","Tajikistan","Both sexes","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","United Republic of Tanzania","Both sexes","61","61.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","United Republic of Tanzania","Male","15","15.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Uganda","Female","46","46.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Low-income","Uganda","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Low-income","Uzbekistan","Female","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Low-income","Uzbekistan","Female","18","18.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Low-income","Viet Nam","Male","66","66.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Low-income","Viet Nam","Male","69","69.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Low-income","Viet Nam","Male","71","71.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Low-income","Viet Nam","Both sexes","22","22.00000","","",""
"Life expectancy at birth (years)","Published","1990","Eastern Mediterranean","Low-income","Yemen","Both sexes","58","58.00000","","",""
"Life expectancy at birth (years)","Published","2012","Eastern Mediterranean","Low-income","Yemen","Both sexes","64","64.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Low-income","Zambia","Both sexes","43","43.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Low-income","Zambia","Both sexes","41","41.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Zambia","Both sexes","57","57.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Low-income","Zambia","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Low-income","Zimbabwe","Female","60","60.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Low-income","Zimbabwe","Male","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Angola","Male","50","50.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Angola","Both sexes","46","46.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Angola","Both sexes","15","15.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Lower-middle-income","Albania","Male","67","67.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","Lower-middle-income","Albania","Both sexes","74","74.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Lower-middle-income","Albania","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Lower-middle-income","Albania","Both sexes","19","19.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Lower-middle-income","Armenia","Female","74","74.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Lower-middle-income","Armenia","Both sexes","67","67.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Lower-middle-income","Armenia","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Lower-middle-income","Armenia","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Lower-middle-income","Azerbaijan","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Belize","Female","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Lower-middle-income","Belize","Both sexes","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","Belize","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Lower-middle-income","Belize","Male","17","17.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Male","61","61.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Both sexes","58","58.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Both sexes","68","68.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Male","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Female","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Both sexes","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Lower-middle-income","Bhutan","Female","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","South-East Asia","Lower-middle-income","Bhutan","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","South-East Asia","Lower-middle-income","Bhutan","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","South-East Asia","Lower-middle-income","Bhutan","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","Lower-middle-income","China","Male","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","Lower-middle-income","China","Female","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","Lower-middle-income","China","Female","19","19.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Lower-middle-income","Côte d'Ivoire","Male","50","50.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Côte d'Ivoire","Male","52","52.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Côte d'Ivoire","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Côte d'Ivoire","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Lower-middle-income","Côte d'Ivoire","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Côte d'Ivoire","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Cameroon","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Cameroon","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Lower-middle-income","Congo","Both sexes","52","52.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Congo","Both sexes","59","59.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Congo","Female","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Lower-middle-income","Congo","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Lower-middle-income","Cabo Verde","Female","68","68.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Lower-middle-income","Cabo Verde","Female","78","78.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Lower-middle-income","Cabo Verde","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Lower-middle-income","Cabo Verde","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Lower-middle-income","Cabo Verde","Female","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Djibouti","Female","59","59.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Djibouti","Male","15","15.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Djibouti","Both sexes","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Lower-middle-income","Ecuador","Male","67","67.00000","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Lower-middle-income","Ecuador","Both sexes","73","73.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Lower-middle-income","Ecuador","Both sexes","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Lower-middle-income","Ecuador","Male","19","19.00000","","",""
